线路编号,线路名称,车辆ID,行驶区间,乘客数,行程距离(m),行程时间(s),车辆停车次数,车辆停车时间(s),车辆区间停车时间(s),车辆站点停靠时间(s),站点编号,上客数,下客数,乘客站点平均侯车时间(s),乘客总候车时间(s),乘客总停车时间(s),乘客区间总停车时间(s),乘客区间平均停车时间(s),乘客站点总停车时间(s),乘客站点平均停车时间(s)
4327,32路,800015,4246->4245,10,78.49,26.80,0,7.00,0.00,7.00,4245,1,1,41.40,41.40,63.00,0.00,0.00,63.00,7.00
4327,32路,800015,4245->,10,692.25,183.90,2,63.10,63.10,0.00,4247,0,0,0.00,0.00,631.00,631.00,63.10,0.00,0.00
4327,32路,800016,->4246,10,416.24,77.60,0,9.00,0.00,9.00,4246,2,1,46.60,93.20,81.00,0.00,0.00,81.00,9.00
4327,32路,800016,4246->4245,11,78.49,28.70,0,9.00,0.00,9.00,4245,2,2,75.30,150.60,81.00,0.00,0.00,81.00,9.00
4327,32路,800016,4245->4247,11,257.71,100.90,1,48.20,37.20,11.00,4247,3,2,86.20,258.60,508.20,409.20,37.20,99.00,11.00
4327,32路,800016,4247->,12,434.06,123.20,1,48.40,48.40,0.00, ,0,0,0.00,0.00,580.80,580.80,48.40,0.00,0.00
4327,32路,800017,->4246,10,415.94,82.40,0,9.00,0.00,9.00,4246,2,1,51.40,102.80,81.00,0.00,0.00,81.00,9.00
4327,32路,800017,4246->4245,11,78.49,28.80,0,9.00,0.00,9.00,4245,2,2,80.20,160.40,81.00,0.00,0.00,81.00,9.00
4327,32路,800017,4245->4247,11,257.73,52.50,0,7.00,0.00,7.00,4247,1,2,42.70,42.70,63.00,0.00,0.00,63.00,7.00
4327,32路,800017,4247->,10,434.01,63.50,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4327,32路,800018,->4246,10,415.91,108.30,1,32.30,23.30,9.00,4246,2,1,77.30,154.60,314.00,233.00,23.30,81.00,9.00
4327,32路,800018,4246->4245,11,78.49,30.70,0,11.00,0.00,11.00,4245,3,2,78.00,234.00,99.00,0.00,0.00,99.00,11.00
4327,32路,800018,4245->4247,12,258.13,57.00,0,11.00,0.00,11.00,4247,3,2,75.00,225.00,110.00,0.00,0.00,110.00,11.00
4327,32路,800018,4247->,13,434.96,63.60,0,0.00,0.00,0.00, ,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4327,32路,800019,->4246,10,416.16,136.30,1,60.20,49.20,11.00,4246,3,1,75.30,225.90,591.00,492.00,49.20,99.00,11.00
4327,32路,800019,4246->4245,12,78.49,28.70,0,9.00,0.00,9.00,4245,2,2,74.00,148.00,90.00,0.00,0.00,90.00,9.00
4327,32路,800019,4245->,12,104.38,15.90,0,0.00,0.00,0.00,4247,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4327,32路,800020,->4246,10,291.54,60.90,0,0.00,0.00,0.00,4246,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
